Candidate_number,Name,Gender,Birthday,Question_number,Points,Time_to_answer
1,lolo,Female,1986-03-25,1,0,2.537402
1,lolo,Female,1986-03-25,2,0,0.913671
1,lolo,Female,1986-03-25,3,0,1.1712
1,lolo,Female,1986-03-25,4,10,2.994548
1,lolo,Female,1986-03-25,5,10,3.025184
1,lolo,Female,1986-03-25,6,10,2.515751
1,lolo,Female,1986-03-25,7,10,2.989211
1,lolo,Female,1986-03-25,8,0,2.24926
1,lolo,Female,1986-03-25,9,0,2.596538
1,lolo,Female,1986-03-25,10,10,2.102187
1,lolo,Female,1986-03-25,11,0,1.460593
1,lolo,Female,1986-03-25,12,0,1.598309
1,lolo,Female,1986-03-25,13,0,1.597987
2,kl o ,Male,1984-04-25,1,0,1.399905
2,kl o ,Male,1984-04-25,2,0,1.042496
2,kl o ,Male,1984-04-25,3,0,1.490098
2,kl o ,Male,1984-04-25,4,0,1.163473
2,kl o ,Male,1984-04-25,5,0,1.323212
2,kl o ,Male,1984-04-25,6,0,1.559899
2,kl o ,Male,1984-04-25,7,10,1.28402
2,kl o ,Male,1984-04-25,8,0,1.282943
2,kl o ,Male,1984-04-25,9,0,1.194206
2,kl o ,Male,1984-04-25,10,0,1.300544
2,kl o ,Male,1984-04-25,11,0,1.450508
2,kl o ,Male,1984-04-25,12,0,1.222047
2,kl o ,Male,1984-04-25,13,0,1.121546
3,moshe,Male,2003-02-19,1,0,1.302418
3,moshe,Male,2003-02-19,2,0,1.23736
3,moshe,Male,2003-02-19,3,10,1.057099
3,moshe,Male,2003-02-19,4,10,0.974635
3,moshe,Male,2003-02-19,5,0,1.273485
3,moshe,Male,2003-02-19,6,0,1.175274
3,moshe,Male,2003-02-19,7,0,1.165671
3,moshe,Male,2003-02-19,8,10,1.257271
3,moshe,Male,2003-02-19,9,10,1.122038
3,moshe,Male,2003-02-19,10,0,0.997324
3,moshe,Male,2003-02-19,11,0,1.146897
3,moshe,Male,2003-02-19,12,0,1.030694
3,moshe,Male,2003-02-19,13,0,1.197357
4,paola,Female,1963-06-03,1,10,2.085386
4,paola,Female,1963-06-03,2,0,1.473364
4,paola,Female,1963-06-03,3,0,1.673867
4,paola,Female,1963-06-03,4,0,3.072631
4,paola,Female,1963-06-03,5,0,2.632549
4,paola,Female,1963-06-03,6,0,1.704422
4,paola,Female,1963-06-03,7,0,1.393483
4,paola,Female,1963-06-03,8,0,1.745736
4,paola,Female,1963-06-03,9,0,1.83674
4,paola,Female,1963-06-03,10,0,1.320124
4,paola,Female,1963-06-03,11,10,1.60154
4,paola,Female,1963-06-03,12,0,1.409785
4,paola,Female,1963-06-03,13,0,1.607564
5,gogo,Female,1992-07-25,1,10,5.436802
5,gogo,Female,1992-07-25,2,10,6.369164
5,gogo,Female,1992-07-25,3,10,13.893703
5,gogo,Female,1992-07-25,4,10,3.968018
5,gogo,Female,1992-07-25,5,0,4.152848
5,gogo,Female,1992-07-25,6,10,7.085643
5,gogo,Female,1992-07-25,7,10,3.791949
5,gogo,Female,1992-07-25,8,0,7.170082
5,gogo,Female,1992-07-25,9,10,1.775551
5,gogo,Female,1992-07-25,10,0,4.442895
5,gogo,Female,1992-07-25,11,10,1.821468
5,gogo,Female,1992-07-25,12,0,2.488148
5,gogo,Female,1992-07-25,13,0,2.263893
